rosbagTimestamp,x,y
1412037000000,0.25,4.689789882
1412050000000,0.25,4.6992151282
1412063000000,0.25,4.7086318312
1412077000000,0.25,4.7180474303
1412091000000,0.25,4.7274711062
1412092000000,0.25,4.7368979202
1412105000000,0.25,4.7463165951
1412107000000,0.25,4.7557292842
1412117000000,0.25,4.7651467333
1412130000000,0.25,4.7745723124
1412142000000,0.25,4.7839939753
1412156000000,0.25,4.7934064058
1412170000000,0.25,4.8028182082
1412171000000,0.25,4.8122391392
1412183000000,0.25,4.8216610268
1412187000000,0.25,4.8310776745
1412201000000,0.25,4.8404874181
1412215000000,0.25,4.849900315
1412229000000,0.25,4.8593212977
1412229000000,0.25,4.8687402399
1412242000000,0.25,4.8781502634
1412247000000,0.25,4.8875582436
1412261000000,0.25,4.8969740863
1412275000000,0.25,4.9063942101
1412289000000,0.25,4.9158065195
1412289000000,0.25,4.9252119754
1412302000000,0.25,4.934621377
1412307000000,0.25,4.9440395756
1412317000000,0.25,4.9534549099
1412329000000,0.25,4.9628605489
1412343000000,0.25,4.9722662039
1412357000000,0.25,4.9816768272
1412371000000,0.25,4.9910927752
1412372000000,0.25,5.000502605
1412384000000,0.25,5.0099052607
1412387000000,0.25,5.0193101607
1412400000000,0.25,5.0287233408
1412413000000,0.25,5.0381355654
1412427000000,0.25,5.0475388288
1412441000000,0.25,5.0569391513
1412441000000,0.25,5.0663468134
1412454000000,0.25,5.07575971
1412457000000,0.25,5.0851654222
1412470000000,0.25,5.0945636325
1412484000000,0.25,5.1039648619
1412498000000,0.25,5.1133751715
1412499000000,0.25,5.1227837647
1412511000000,0.25,5.1321825311
1412517000000,0.25,5.1415786445
1412531000000,0.25,5.1509831863
1412546000000,0.25,5.1602921032
1412559000000,0.25,5.1697942405
1412560000000,0.25,5.1791895632
1412573000000,0.25,5.1885862955
1412577000000,0.25,5.1979914608
1412591000000,0.25,5.2073967402
1412604000000,0.25,5.216793022
1412618000000,0.25,5.2261854626
1412619000000,0.25,5.2355846951
1412631000000,0.25,5.2449901013
1412637000000,0.25,5.2543890115
1412651000000,0.25,5.2637797569
1412665000000,0.25,5.2731725671
1412679000000,0.25,5.2825746949
1412679000000,0.25,5.2919763186
1412692000000,0.25,5.3013680143
1412697000000,0.25,5.3107560487
1412711000000,0.25,5.3201519451
1412717000000,0.25,5.3295541939
1412730000000,0.25,5.3389488032
1412744000000,0.25,5.3483348441
1412757000000,0.25,5.3577246887
1412758000000,0.25,5.3671214162
1412771000000,0.25,5.3765195018
1412777000000,0.25,5.3859086311
1412790000000,0.25,5.3952929379
1412804000000,0.25,5.4046834138
1412818000000,0.25,5.4140810377
1412818000000,0.25,5.4234729549
1412832000000,0.25,5.432856017
1412837000000,0.25,5.4422401357
1412850000000,0.25,5.4516337776
1412864000000,0.25,5.4610282073
1412877000000,0.25,5.4704126349
1412878000000,0.25,5.4797923441
1412891000000,0.25,5.4891793073
1412897000000,0.25,5.4985737473
1412910000000,0.25,5.5079606771
1412917000000,0.25,5.5173408547
1412929000000,0.25,5.5267206065
1412942000000,0.25,5.5361087011
1412956000000,0.25,5.5454991387
1412969000000,0.25,5.5548809013
1412970000000,0.25,5.5642570808
1412983000000,0.25,5.5736386741
1412987000000,0.25,5.5830280208
1413002000000,0.25,5.5924126007
1413015000000,0.25,5.601787931
1413029000000,0.25,5.6111633434
1413030000000,0.25,5.6205481031
1413042000000,0.25,5.6299348401
1413047000000,0.25,5.6393118461
1413058000000,0.25,5.6486832563
1413069000000,0.25,5.6580610938
1413083000000,0.25,5.6674471636
1413097000000,0.25,5.6768273761
1413110000000,0.25,5.6861977211
1413111000000,0.25,5.6955701838
1413117000000,0.25,5.7049491285
1413127000000,0.25,5.7143316122
